A0JLT2,P35558
O15379,O95477
O15392,Q96GD4
O15392,P36873
O15399,P17612
O15455,O15111
O15455,O14920
O15492,P63096
O15514,Q13315
O15516,P05121
O15516,Q07869
O15520,P08620
O15520,P09038
O15520,P11362
O15520,P01112
O15520,P05230
O15524,P14784
O15524,P60568
O15524,P01579
O15524,P17181
O15524,P51692
O15524,P06213
O15524,P06239
O15524,P23458
O15524,P31785
O15524,P01589
O15524,P01574
O15525,P68871
O15530,O00459
O15530,P42336
O15530,P42338
O15530,Q02156
O15530,P48736
O15530,O15111
O15530,O00329
O15530,P17252
O15530,P27986
O15530,O14920
O15530,P31749
O15539,P63096
O43150,P62330
O43150,P63000
O43150,P01112
O43150,P84077
O43157,P15153
O43157,P63000
O43182,P63000
O43182,P01112
O43182,P84077
O43184,P01133
O43236|Q8NEP4,P98170
O43237,P04150
O43237,Q96GD4
O43237,P06401
O43237,P07900
O43237,P36873
O43237,P08238
O43237,P10275
O43264,Q96GD4
O43264,P36873
O43295,P60953
O43306,P63096
O43306,Q05655
O43318,P28482
O43318,Q9Y478
O43318,O43741
O43318,P27361
O43318,Q04759
O43318,P15336
O43318,Q9UGJ0
O43318,P54619
O43318,Q13131
O43318,O15111
O43318,P54646
O43318,Q9UGI9
O43318,O14920
O43320,P08620
O43320,P35968
O43320,P09038
O43320,P00533
O43320,P17948
O43320,P11362
O43320,P01112
O43320,P05230
O43353,P98170
O43464,P98170
O43474,P17676
O43502,P11802
O43502,Q13315
O43508,P42574
O43513,P35558
O43521,P28482
O43521,P27361
O43521,P10415
O43524,P28482
O43524,P27361
O43524,P17612
O43524,Q13131
O43524,O15111
O43524,P54646
O43524,O14920
O43524,P31749
O43541,P15336
O43555,P30968
O43559,P01112
O43566,P63096
O43566,P20701
O43566,P05556
O43566,P05107
O43597,P01112
O43609,P01112
O43610,P01112
O43639,P15153
O43639,P63000
O43665,P63096
O43683,Q96GD4
O43683,P36873
O43683,P51812
O43683,Q15418
O43684,Q96GD4
O43684,P36873
O43707,P42336
O43707,P12931
O43707,P27986
O43739,P84077
O43741,P13569
O43741,P04035
O43741,O00763
O43741,Q13085
O43819,P99999
O43889,P49841
O43913,P56282
O43913,Q14181
O43913,Q07864
O43913,Q9NRF9
O43913,Q9NR33
O43914,P43403
O43914,P06239
O43914,P06241
O43914,P43405
O43915,P36888
O43915,P35916
O43915,P35968
O43921,P06241
O43921,P29317
O43929,P56282
O43929,Q14181
O43929,Q07864
O43929,Q9NRF9
O43929,Q9NR33
O60216,P01106
O60237,Q13464
O60239,P11274
O60239,P43405
O60239,P07948
O60239,Q06187
O60240,P17612
O60244,P35558
O60258,P35968
O60258,P00533
O60258,P17948
O60258,P11362
O60262,Q01668
O60262,P54284
O60262,Q08289
O60262,Q9NY47
O60266,P51787
O60266,P55011
O60266,P17612
O60266,Q05655
O60331,P15153
O60331,P62330
O60331,P63000
O60343,P31749
O60346,P31749
O60391,P17612
O60496,P01112
O60503,P51787
O60503,P55011
O60503,P17612
O60503,Q05655
O60563,Q13315
O60566,Q96GD4
O60566,P36873
O60583,Q13315
O60602,P19838
O60603,P19838
O60603,P63000
O60610,P68133
O60671,Q13315
O60674,P28482
O60674,O00459
O60674,P01579
O60674,P16234
O60674,P30926
O60674,P09619
O60674,P27361
O60674,P35968
O60674,P42336
O60674,P00533
O60674,Q15825
O60674,P42338
O60674,P51692
O60674,P32297
O60674,P23458
O60674,P17787
O60674,P43681
O60674,O00329
O60674,Q9UM73
O60674,P27986
O60674,P16471
O60675,P68871
O60716,P15153
O60716,P01133
O60716,P00533
O60716,P06241
O60716,P63000
O60716,P60953
O60716,P07947
O60733,P05129
O60733,Q02156
O60733,Q05655
O60733,P17252
O60806,P01189
O60814,P24385
O60814,P07288
O60814,P07359
O60814,P10415
O60814,P01106
O60825,P31749
O60826,P63208
O60826,Q16665
O60880,P06241
O60884,P54652
O60884,P11142
O60921,Q13315
O60934,Q13315
O75015,P42336
O75015,P43405
O75015,P27986
O75030,P28482
O75030,P27361
O75030,P10415
O75044,P60953
O75051,P06241
O75116,P28482
O75116,P19838
O75116,P27361
O75116,P19634
O75116,P36873
O75122,Q96GD4
O75122,P36873
O75143,P17612
O75143,P42345
O75159,P51692
O75159,P23458
O75159,P31785
O75182,P07359
O75197,P49841
O75293,P12004
O75293,P06493
O75326,P05556
O75351,O14964
O75376,P04271
O75376,O95477
O75385,P17612
O75385,P42345
O75419,P56282
O75419,Q14181
O75419,Q07864
O75419,Q9NRF9
O75419,Q9NR33
O75444,P02818
O75448,P35558
O75461,P31350
O75461,O14727
O75474,P49841
O75494,P09012
O75581,P49841
O75582,P28482
O75582,P27361
O75582,P18848
O75582,P16220
O75586,P35558
O75604,O15111
O75604,P98170
O75604,P01375
O75604,O14920
O75610,P01137
O75610,P36896
O75689,P62330
O75747,P63000
O75747,P01112
O75762,Q02156
O75787,P00797
O75787,P01019
O75807,P18848
O75880,P99999
O75886,P23458
O75899,P63096
O75909,Q13315
O75914,P15153
O75914,P63000
O75914,P60953
O75916,P11488
O75916,P63096
O75925,P51692
O75928,P51692
O75935,P04150
O75935,P06401
O75935,P07900
O75935,P08238
O75935,P10275
O75943,Q13315
O75962,P63000
O76024,P18850
O76081,P63096
O76093,P08620
O76093,P35968
O76093,P09038
O76093,P00533
O76093,P11362
O76093,P01112
O76093,P05230
O94806,P05129
O94806,P17252
O94810,P63096
O94887,P12931
O94887,P60953
O94888,Q16665
O94913,P50613
O94913,P50750
O94929,P15153
O94929,P63000
O94929,P60953
O94952,P63208
O95069,P17612
O95096,P01308
O95166,P17612
O95185,P12931
O95208,P25103
O95208,P07550
O95208,P08172
O95229,Q96GD4
O95229,P36873
O95257,P12004
O95257,P06493
O95267,P01112
O95271,O14746
O95279,Q99250
O95393,P15336
O95396,Q9Y697
O95398,Q09428
O95398,P63096
O95398,Q14654
O95402,P35558
O95405,P01137
O95551,P25963
O95551,P19838
O95622,P63096
O95622,Q05655
O95644,P17612
O95644,P49841
O95644,P68133
O95644,Q96LZ3
O95644,P01375
O95711,Q9Y6Y9
O95711,O00206
O95750,P08620
O95750,P09619
O95750,P35968
O95750,P09038
O95750,P17948
O95750,P11362
O95750,P01112
O95750,P05230
O95813,P36896
O95819,O15111
O95819,O14920
O95822,Q9Y478
O95822,O43741
O95822,Q9UGJ0
O95822,P54619
O95822,Q13131
O95822,P54646
O95822,Q9UGI9
O95837,P21731
O95977,P63096
O95980,P08253
O95988,P31749
O95995,Q99835
O95996,P49841
O95997,P09038
O96008,P00441
O96013,P15153
O96013,P63000
O96013,P60953
O96017,Q13315
O96020,P38936
P00441,P10415
P00451,P04070
P00488,P00734
P00519,P15153
P00519,P51692
P00519,P63000
P00519,P54760
P00519,P29317
P00519,Q00535
P00533,P28482
P00533,O00459
P00533,P27361
P00533,P42336
P00533,P01133
P00533,P42338
P00533,P51692
P00533,P07900
P00533,P23458
P00533,P12931
P00533,O00329
P00533,P01308
P00533,P01112
P00533,P27986
P00540,P07900
P00540,P08238
P00734,P05546
P00734,P00750
P00734,P04070
P00734,P00488
P00734,P14770
P00734,P02675
P00734,P07359
P00734,P02679
P00734,P63096
P00734,P05160
P00734,P01008
P00734,P00749
P00734,P07204
P00734,P07225
P00734,P01112
P00740,P01008
P00740,P00742
P00742,P00740
P00742,P00734
P00742,P01008
P00746,P01024
P00747,P00750
P00747,P01024
P00747,P00748
P00747,P22314
P00747,P00749
P00748,P00747
P00748,P01008
P00749,P05121
P00749,P00747
P00749,P05120
P00750,P05121
P00750,P00747
P00750,P05120
P00751,P01024
P00751,P08603
P00797,P01019
P01008,P00740
P01008,P00748
P01008,P00488
P01008,P14770
P01008,P02675
P01008,P00734
P01008,P07359
P01008,P02679
P01008,P05160
P01008,P00742
P01009,P04070
P01019,P42336
P01019,P01112
P01019,P27986
P01023,P04070
P01023,P02647
P01024,P01031
P01024,P00747
P01024,P08603
P01024,P05107
P01024,P00751
P01031,P01024
P01031,P07357
P01031,P07358
P01100,P28482
P01100,P09601
P01100,P01137
P01100,P13500
P01100,P24385
P01100,P27361
P01100,P05129
P01100,P17612
P01100,P12931
P01100,P01574
P01100,P01375
P01100,Q08257
P01100,P17252
P01100,P16435
P01100,P09210
P01106,P28482
P01106,P27361
P01106,O14746
P01106,P49841
P01106,P38936
P01111,P28482
P01111,P41240
P01111,O00459
P01111,P04049
P01111,P27361
P01111,P42336
P01111,P00533
P01111,P10721
P01111,P15056
P01111,P42338
P01111,P10398
P01111,P02675
P01111,Q02156
P01111,P26951
P01111,P02679
P01111,P63096
P01111,P02751
P01111,P12931
P01111,P43405
P01111,O00329
P01111,P32927
P01111,P01112
P01111,P17252
P01111,P27986
P01111,P05106
P01112,P28482
P01112,P41240
P01112,O00459
P01112,P04049
P01112,P27361
P01112,P42336
P01112,P00533
P01112,P10721
P01112,P15056
P01112,P42338
P01112,P10398
P01112,P02675
P01112,Q02156
P01112,P26951
P01112,P02679
P01112,P63096
P01112,P02751
P01112,P63000
P01112,P12931
P01112,P43405
P01112,O00329
P01112,P32927
P01112,P17252
P01112,P27986
P01112,P05106
P01116,P28482
P01116,P41240
P01116,O00459
P01116,P04049
P01116,P27361
P01116,P42336
P01116,P00533
P01116,P10721
P01116,P15056
P01116,P42338
P01116,P10398
P01116,P02675
P01116,Q02156
P01116,P26951
P01116,P02679
P01116,P63096
P01116,P02751
P01116,P12931
P01116,P43405
P01116,O00329
P01116,P32927
P01116,P01112
P01116,P17252
P01116,P27986
P01116,P05106
P01127,P16234
P01127,P09619
P01127,P35916
P01127,P35968
P01127,P17948
P01133,P16234
P01133,P09619
P01133,P42336
P01133,P00533
P01133,P10721
P01133,P42338
P01133,P06213
P01133,P07900
P01133,P23458
P01133,P27986
P01135,P00533
P01137,P07585
P01138,P42336
P01138,Q16620
P01138,O15111
P01138,P01112
P01138,P27986
P01138,O14920
P01138,P04629
P01148,P30968
P01178,P30559
P01185,P37288
P01189,Q01718
P01236,P16471
P01241,P42336
P01241,P51692
P01241,P27986
P01241,P16471
P01242,P16471
P01275,P43220
P01275,P47871
P01308,P16234
P01308,P09619
P01308,P00533
P01308,P10721
P01308,P06213
P01344,P24385
P01375,P19838
P01375,P17405
P01375,P49137
P01375,O15111
P01375,P05412
P01563,P17181
P01563,P23458
P01563,P01574
P01566,P17181
P01566,P23458
P01566,P01574
P01567,P17181
P01567,P23458
P01567,P01574
P01568,P17181
P01568,P23458
P01568,P01574
P01570,P17181
P01570,P23458
P01570,P01574
P01571,P17181
P01571,P23458
P01571,P01574
P01574,P17181
P01574,P23458
P01574,P48551
P01579,P17181
P01579,O14746
P01579,P07900
P01579,P23458
P01579,P48551
P01583,P49137
P01583,O15111
P01584,P19838
P01584,P35408
P01584,P05412
P01584,P29466
P01588,P51692
P01589,P60568
P01589,P51692
P01903,P01730
P02452,P05556
P02461,P05556
P02462,P00748
P02649,Q07954
P02649,P35354
P02655,P02647
P02655,P02649
P02655,P02652
P02656,P02647
P02656,P02649
P02656,P02652
P02675,P00488
P02675,P05160
P02679,P00488
P02679,P05160
P02741,P02746
P02741,P02747
P02741,P02745
P02741,P09871
P02745,P02746
P02745,P27797
P02745,P02747
P02745,P09871
P02746,P27797
P02746,P02747
P02746,P02745
P02746,P09871
P02747,P02746
P02747,P27797
P02747,P02745
P02747,P09871
P02748,P01031
P02748,P07357
P02748,P07358
P02776,Q9UNN8
P02776,P04070
P03372,P28482
P03372,P24385
P03372,P04406
P03372,P04150
P03372,P07339
P03372,P68366
P03372,P27361
P03372,P04155
P03372,Q71U36
P03372,O14746
P03372,P17612
P03372,P06401
P03372,Q9NY65
P03372,P12931
P03372,P10415
P03372,P01106
P03951,P00740
P03951,P00748
P03951,P01008
P03952,P00748
P03952,P00747
P03971,Q16671
P03971,Q04771
P04004,P06756
P04004,P05556
