A0JLT2,P35558
P0CI01,P06493
P0DJI8,P19838
P0DJI8,Q00653
P0DML3|P0DML2,P16471
P0DP24|P0DP23|P0DP25,P11217
P0DP24|P0DP23|P0DP25,P06737
P0DP24|P0DP23|P0DP25,P11216
P0DP24|P0DP23|P0DP25,P35228
P0DP24|P0DP23|P0DP25,Q9H1R3
P0DP24|P0DP23|P0DP25,P54750
P0DP24|P0DP23|P0DP25,P29475
P10070,P24385
P10070,P17612
P10070,P10415
P10071,P24385
P10071,P17612
P10071,P10415
P10109,Q16595
P10144,P68366
P10144,Q71U36
P10144,P42574
P10144,Q9NY65
P10144,P68363
P10144,P09874
P10145,P19838
P10145,P25024
P10145,P05412
P10147,P51681
P10275,P14625
P10275,P07288
P10275,P07900
P10275,P08238
P10276,P04150
P10301,O00459
P10301,P04049
P10301,O14939
P10301,P42336
P10301,P15056
P10301,P42338
P10301,P10398
P10301,Q02156
P10301,Q13393
P10301,O00329
P10301,P27986
P10398,P28482
P10398,P41240
P10398,P04049
P10398,P27361
P10398,P05129
P10398,P15056
P10398,P02675
P10398,P17612
P10398,P02679
P10398,P02751
P10398,P12931
P10398,P01112
P10398,P17252
P10398,P05106
P10415,P00441
P10415,P99999
P10415,O14727
P10415,P31749
P10451,P06756
P10451,P05556
P10451,P05106
P10523,P11488
P10523,P08100
P10586,P06213
P10589,P25963
P10589,P35228
P10589,P00403
P10589,P01375
P10589,P01106
P10600,P07585
P10600,P01137
P10643,P01031
P10643,P07357
P10643,P07358
P10644,P28482
P10644,P41240
P10644,P27361
P10644,P05556
P10644,P10415
P10644,P16220
P10644,P29475
P10646,P00742
P10720,Q9UNN8
P10720,P04070
P10721,O00459
P10721,P42336
P10721,P01133
P10721,P42338
P10721,P51692
P10721,O00329
P10721,P01308
P10721,P01112
P10721,P27986
P10747,O00459
P10747,P42336
P10747,P42338
P10747,P42081
P10747,P06239
P10747,P43405
P10747,O00329
P10747,P27986
P10767,P08620
P10767,P09619
P10767,P35968
P10767,P09038
P10767,P00533
P10767,P17948
P10767,Q02763
P10767,P11362
P10767,P01112
P10767,P05230
P10809,O00206
P10827,O00459
P10827,P42336
P10827,P42338
P10827,O00329
P10827,P27986
P10828,P28482
P10828,O00459
P10828,P27361
P10828,P42336
P10828,P42338
P10828,O00329
P10828,P27986
P10909,P01031
P10909,P07357
P10909,P07358
P10912,P42336
P10912,P51692
P10912,P27986
P10914,O14746
P10914,P07900
P10914,P01574
P11047,P63000
P11047,P60953
P11150,P02649
P11150,P01130
P11161,P17676
P11215,P01024
P11230,Q14289
P11233,P15153
P11233,O14939
P11233,Q13393
P11233,P63000
P11234,P15153
P11234,O14939
P11234,Q13393
P11234,P63000
P11274,P51692
P11274,P42345
P11274,P43405
P11362,P08620
P11362,O00459
P11362,P42336
P11362,P09038
P11362,P42338
P11362,O00329
P11362,P27986
P11362,P05230
P11474,P06576
P11474,P99999
P11474,P13196
P11474,Q07869
P11487,P08620
P11487,P09619
P11487,P09038
P11487,P17948
P11487,P11362
P11487,P01112
P11487,P05230
P11488,P16499
P11488,P08100
P11488,P35913
P11532,P63000
P11532,P60953
P11802,P24385
P11802,Q00534
P11802,P00519
P11802,Q13547
P11802,P12004
P11802,P38936
P11831,P05556
P11912,P42345
P11912,P43405
P12004,P56282
P12004,P24385
P12004,P11802
P12004,Q00534
P12004,Q07864
P12004,Q9NRF9
P12004,P38936
P12004,Q9NR33
P12034,P00533
P12034,P17948
P12034,P11362
P12235,Q02156
P12236,Q02156
P12259,P04070
P12259,P00734
P12259,P07225
P12314,P07948
P12314,P08631
P12318,P12931
P12318,P43405
P12318,P07948
P12318,P08631
P12319,P04049
P12319,P42336
P12319,P01100
P12319,P06241
P12319,P05412
P12319,P43405
P12319,P27986
P12319,Q06187
P12544,P15531
P12643,Q16671
P12643,Q04771
P12643,P15336
P12644,Q16671
P12644,Q04771
P12644,P15336
P12814,P42336
P12814,P12931
P12814,P27986
P12830,P28482
P12830,P04070
P12830,P27361
P12830,P01133
P12830,P00533
P12931,P28482
P12931,P08253
P12931,P41240
P12931,O00459
P12931,P15153
P12931,Q99835
P12931,P16234
P12931,P06756
P12931,P09619
P12931,P27361
P12931,P35968
P12931,P42336
P12931,P12318
P12931,P00533
P12931,P42338
P12931,P08648
P12931,P01100
P12931,P23458
P12931,Q92731
P12931,P63000
P12931,P05412
P12931,P14780
P12931,P43405
P12931,O00329
P12931,Q05655
P12931,P05556
P12931,Q14289
P12931,P60953
P12931,Q08881
P12931,P03372
P12931,P01112
P12931,P27986
P12931,P05106
P12931,Q8NER1
P13232,P31785
P13236,P51681
P13236,P01112
P13498,P19320
P13498,P63000
P13500,P19838
P13500,P05412
P13501,P19838
P13501,P51681
P13501,P05412
P13569,Q9Y478
P13569,O43741
P13569,Q9UGJ0
P13569,P17612
P13569,P54619
P13569,Q13131
P13569,P54646
P13569,Q9UGI9
P13598,P20701
P13598,P05107
P13612,P19320
P13667,Q86YB8
P13671,P01031
P13671,P07357
P13671,P07358
P13688,P08648
P13688,P02751
P13688,P05556
P13726,P00734
P13807,P17612
P13807,P49841
P13861,P28482
P13861,P41240
P13861,P27361
P13861,P05556
P13861,P10415
P13861,P16220
P13861,P29475
P13945,P63096
P13984,Q13315
P14316,P01574
P14317,P12931
P14416,Q01959
P14416,P63096
P14598,P05129
P14598,P19320
P14598,P63000
P14598,P17252
P14616,P01308
P14618,P17612
P14625,P10275
P14625,P31749
P14635,P31323
P14635,P54619
P14778,P01584
P14778,O15111
P14780,P12931
P14784,P60568
P14784,P51692
P14784,P40933
P14784,P06239
P14784,P23458
P14784,P31785
P14784,P01589
P14859,P24385
P14921,P28482
P14921,P27361
P14923,Q9UJU2
P14923,P63000
P14923,P60953
P15036,P28482
P15036,P27361
P15056,P28482
P15056,P41240
P15056,P04049
P15056,P27361
P15056,P05129
P15056,P10398
P15056,P02675
P15056,P17612
P15056,P02679
P15056,P02751
P15056,P12931
P15056,P01112
P15056,P17252
P15056,P05106
P15153,P11233
P15153,P19838
P15153,P42336
P15153,P42338
P15153,P41743
P15153,P06241
P15153,P00519
P15153,P12931
P15153,O00329
P15153,Q14289
P15153,Q9UN19
P15153,P42684
P15248,P31785
P15260,P01579
P15260,P23458
P15311,P05129
P15311,P19634
P15311,P17612
P15311,P68133
P15311,P05556
P15311,P17252
P15336,P28482
P15336,P24385
P15336,P27361
P15336,P05412
P15336,P16860
P15336,P01574
P15382,P17612
P15391,O00459
P15391,P42336
P15391,P42338
P15391,P43405
P15391,O00329
P15391,P27986
P15391,P07948
P15498,P15153
P15498,P63000
P15498,P20701
P15498,P43405
P15498,P05107
P15498,P60953
P15498,Q08881
P15498,P01112
P15514,P00533
P15531,P63000
P15531,P60953
P15692,P08253
P15692,P41240
P15692,P35968
P15692,P42336
P15692,P17948
P15692,P68133
P15692,P14780
P15692,P12931
P15692,P27986
P15735,P11217
P15735,P06737
P15735,P11216
P15882,P63000
P15882,P01112
P15882,P84077
P15927,P56282
P15927,Q14181
P15927,Q07864
P15927,Q9NRF9
P15927,Q9NR33
P15976,Q9NZD4
P15976,P07359
P15976,P68871
P16104,P24385
P16104,P07288
P16104,P07359
P16104,P01106
P16118,P17612
P16144,P12931
P16157,Q14643
P16157,Q14573
P16157,Q14571
P16220,P09601
P16220,P17612
P16220,P49841
P16220,P10415
P16220,P38936
P16220,Q08257
P16220,P16435
P16220,P09210
P16220,P00338
P16234,P42336
P16234,P01133
P16234,P23458
P16234,P12931
P16234,P01308
P16234,P27986
P16284,P41240
P16284,P68133
P16284,P12931
P16298,Q01668
P16298,P29475
P16333,P01112
P16520,Q01668
P16520,P48549
P16520,P54284
P16520,Q08289
P16520,Q7RTX0
P16520,Q92806
P16520,Q8TE23
P16520,Q9NY47
P16520,P48544
P16520,P48051
P16591,P07947
P16619,P51681
P16671,P49747
P16885,P16234
P16885,P09619
P16885,P05129
P16885,P35968
P16885,P00533
P16885,Q16620
P16885,Q9Y6Y9
P16885,O00206
P16885,Q96LZ3
P16885,P43405
P16885,Q9UM73
P16885,Q05655
P16885,P11362
P16885,P17252
P16885,P04629
P16885,Q06187
P17081,P13569
P17081,P11233
P17181,P01579
P17181,P23458
P17181,P01574
P17252,P28482
P17252,P25963
P17252,Q99835
P17252,P04049
P17252,P27361
P17252,O14939
P17252,P19634
P17252,P01133
P17252,Q01959
P17252,P00533
P17252,P10721
P17252,P15056
P17252,P14598
P17252,P10398
P17252,P51692
P17252,P01100
P17252,O14746
P17252,P42574
P17252,P25098
P17252,O60733
P17252,Q13393
P17252,P42345
P17252,Q9GZT9
P17252,Q14289
P17252,P01112
P17252,P07948
P17252,Q96KS0
P17252,P29475
P17301,P17612
P17302,P28482
P17302,P27361
P17302,P06493
P17535,P42262
P17535,Q00535
P17535,P01106
P17612,P13569
P17612,P51787
P17612,P28482
P17612,P25963
P17612,P19838
P17612,O60391
P17612,Q99835
P17612,P04049
P17612,P55011
P17612,P27361
P17612,O15399
P17612,P19634
P17612,Q01668
P17612,P15056
P17612,P10398
P17612,P42262
P17612,P35498
P17612,Q09428
P17612,P01100
P17612,Q14643
P17612,P49841
P17612,Q07343
P17612,P18848
P17612,P19429
P17612,Q92731
P17612,Q08499
P17612,Q14654
P17612,Q13131
P17612,Q8TCU5
P17612,P05412
P17612,P54646
P17612,Q05586
P17612,Q14573
P17612,P16118
P17612,P27815
P17612,Q14571
P17612,P05556
P17612,P61925
P17612,Q12879
P17612,P32418
P17612,Q07869
P17612,P16220
P17612,O95069
P17612,P03372
P17612,P42261
P17612,Q8NER1
P17612,Q13224
P17655,Q15078
P17655,P05556
P17706,P06213
P17706,P23458
P17706,P01308
P17813,P28482
P17813,P27361
P17844,P04155
P17927,P01024
P17931,P01112
P17947,P36888
P17947,P29590
P17948,P41240
P17948,P42336
P17948,P68133
P17948,P12931
P17948,P27986
P18031,P42336
P18031,P06213
P18031,P01308
P18031,P27986
P18074,Q13315
P18075,Q16671
P18075,P15336
P18084,P04004
P18084,P12931
P18146,Q15078
P18206,P42336
P18206,P12931
P18206,P27986
P18510,P01584
P18545,P11488
P18564,P12931
P18615,Q13315
P18825,P59768
P18825,P63096
P18827,P06756
P18827,P14780
P18827,P05106
P18848,P08243
P18848,P13500
P18848,P17612
P18848,P11021
P18848,P49841
P18848,P18847
P18848,P49137
P18848,P51812
P18848,Q15418
P18850,P14625
P18850,P27797
P18850,P11021
P19022,P63000
P19022,P60953
P19086,P01730
P19086,P06239
P19087,P08100
P19174,P16234
P19174,P09619
P19174,P05129
P19174,P35968
P19174,P00533
P19174,Q16620
P19174,P43405
P19174,Q9UM73
P19174,Q05655
P19174,P11362
P19174,Q08881
P19174,P17252
P19174,P04629
P19174,Q06187
P19235,P51692
P19320,P14598
P19320,P19878
P19320,P04839
P19320,P05556
P19320,Q15080
P19387,Q13315
P19388,Q13315
P19429,P17612
P19438,P17405
P19438,O15111
P19438,P01375
P19438,O14920
P19447,Q13315
P19525,P25963
P19525,P41091
P19544,O14746
P19634,P28482
P19634,P27361
P19634,P05129
P19634,Q02156
P19634,P17612
P19634,Q13464
P19634,P17252
P19784,P25963
P19793,P25963
P19793,Q06520
P19793,P04150
P19793,Q08426
P19793,P02647
P19793,P50416
P19793,P10515
P19793,Q15067
P19793,P29803
P19793,P11177
P19793,Q02928
P19793,P35558
P19793,P35228
P19793,O60656
P19793,P00403
P19793,P01019
P19793,P28845
P19793,P02652
P19793,P48163
P19793,P23786
P19793,O95477
P19793,P04798
P19793,P08559
P19793,P51161
P19793,P13196
P19793,Q07869
P19793,P01375
P19793,Q16881
P19793,P01106
P19838,P25963
P19838,P13500
P19838,P15153
P19838,P04049
P19838,P01584
P19838,P17612
P19838,P63000
P19838,O15111
P19838,O00206
P19838,Q13464
P19838,P01375
P19838,O14920
P19875,P19838
P19875,P05412
P19876,P19838
P19876,P05412
P19878,P19320
P19878,P63000
P19878,P01112
P19878,P84077
P20226,P04155
P20248,P38936
P20273,P43405
P20333,P01375
P20338,P62330
P20671,P24385
P20671,P07288
P20671,P07359
P20671,P01106
P20701,Q14289
P20702,P01024
P20783,P42336
P20783,Q16620
P20783,P01112
P20783,P27986
P20783,P04629
P20810,Q15078
P20810,P68133
P20810,P05556
P20823,P24385
P20823,Q03181
P20823,P11168
P20823,Q14541
P20823,P01106
P20827,P06241
P20827,P29317
P20936,P04049
P20936,P54760
P20936,P29317
P20936,P01112
P20963,P43403
P20963,P31323
P20963,P06241
P20963,P43405
P20963,P10644
P21127,P68366
P21127,P23258
P21127,P04350
P21127,P31323
P21127,Q71U36
P21127,P17612
P21127,P07900
P21127,P07437
P21127,P68371
P21127,P06493
P21359,P04150
P21359,P01112
P21453,P42336
P21453,P63096
P21453,P63000
P21453,P12931
P21453,P27986
P21462,P01112
P21554,P63096
P21580,O15111
P21580,P98170
P21580,P01375
P21580,O14920
P21675,P17936
P21675,P38936
P21675,P08183
P21709,P00519
P21730,P01031
P21731,P59768
P21731,P21980
P21741,P12821
P21781,P08620
P21781,P09038
P21781,P11362
P21781,P01112
P21781,P05230
P21796,Q02156
P21802,P09038
P21802,P23458
P21802,P12931
P21802,P05230
P21815,P06756
P21815,P05106
P21860,O00459
P21860,P42336
P21860,P01133
P21860,P42338
P21860,P23458
P21860,P12931
P21860,O00329
P21860,P27986
P22003,Q16671
P22003,P15336
P22004,Q16671
P22105,P06756
P22105,P05556
P22105,P05106
P22301,P13500
P22301,P01584
P22301,P51681
P22301,P42081
P22301,P25105
P22301,P01375
P22301,P21462
P22314,P00750
P22314,Q13363
P22314,P00749
P22415,P07339
P22455,P08620
P22455,P09038
P22455,P01112
P22455,P05230
P22607,P09038
P22607,P23458
P22607,P12931
P22607,P05230
P22612,P13569
P22612,P51787
P22612,P28482
P22612,P25963
P22612,P41240
P22612,P19838
P22612,Q99835
P22612,P04049
P22612,P55011
P22612,P27361
P22612,P19634
P22612,Q01668
P22612,P15056
P22612,P10398
P22612,P42262
P22612,P35498
P22612,Q09428
P22612,P01100
P22612,Q14643
P22612,P49841
P22612,Q07343
P22612,P18848
P22612,P19429
P22612,Q92731
P22612,Q08499
P22612,Q14654
P22612,Q13131
P22612,P05412
P22612,P54646
P22612,Q14573
P22612,P16118
P22612,P27815
P22612,Q14571
P22612,P05556
P22612,Q12879
P22612,P10415
P22612,P32418
P22612,Q07869
P22612,P16220
P22612,O95069
P22612,P03372
P22612,P42261
P22612,Q8NER1
P22612,Q13224
P22612,P29475
P22681,P42336
P22681,P01133
P22681,P00533
P22681,P06213
P22681,P07900
P22681,P27986
P22694,P13569
P22694,P51787
P22694,P28482
P22694,P25963
P22694,P41240
P22694,P19838
P22694,Q99835
P22694,P04049
P22694,P55011
P22694,P27361
P22694,P19634
P22694,Q01668
P22694,P15056
P22694,P10398
P22694,P42262
P22694,P35498
P22694,Q09428
P22694,P01100
P22694,Q14643
P22694,P49841
P22694,Q07343
P22694,P18848
P22694,P19429
P22694,Q92731
P22694,Q08499
P22694,Q14654
P22694,Q13131
P22694,P05412
P22694,P54646
P22694,Q14573
P22694,P16118
P22694,P27815
P22694,Q14571
P22694,P05556
P22694,Q12879
P22694,P10415
P22694,P32418
P22694,Q07869
P22694,P16220
P22694,O95069
P22694,P03372
P22694,P42261
P22694,Q8NER1
P22694,Q13224
P22694,P29475
P22736,P28482
P22736,P27361
P22736,P17612
P22736,P10415
P22736,P19793
P22736,P31749
P23193,Q13315
P23352,P08620
P23352,P09038
P23352,P05230
P23443,P28482
P23443,P27361
P23443,P01100
P23443,P17612
P23443,P49841
P23443,Q92731
P23443,P42345
P23443,P05412
P23443,P03372
P23443,P31749
P23443,P01106
P23458,P28482
P23458,P14784
P23458,P60568
P23458,P01579
P23458,P16234
P23458,P09619
P23458,P27361
P23458,P35968
P23458,P42336
P23458,P17181
P23458,P00533
P23458,P51692
P23458,P06239
P23458,P48551
P23458,P06241
P23458,P12931
P23458,P31785
P23458,P01589
P23458,P01574
P23458,Q9UM73
P23458,Q14289
P23458,P10415
P23458,P27986
P23469,P23458
P23511,Q14534
P23511,O95749
P23511,P49327
P23511,P11021
P23511,Q9UBM7
P23511,Q13907
P23527,P24385
P23527,P07288
P23527,P07359
P23527,P10415
P23527,P01106
P23560,P42336
P23560,Q16620
P23560,P01112
P23560,P27986
P23634,P19429
P23771,P24385
P23771,P05113
P23771,P04155
P24043,P06756
P24043,P08648
P24043,P63000
P24043,P60953
P24385,P11802
P24385,P49841
P24385,P00519
P24385,Q13547
P24385,P12004
P24385,P38936
P24522,P24385
P24522,P11802
P24522,P12004
P24522,P06493
P24530,P63096
P24723,P28482
P24723,P27361
P24723,P01112
P24821,P06756
P24821,P05556
P24821,P05106
P24844,P36873
P24844,Q9H1R3
P24844,Q13464
P24863,P35558
P24864,P63208
P24864,P00519
P24864,Q13547
P24864,P38936
P24941,P56282
P24941,P50613
P24941,Q14181
P24941,Q07864
P24941,P00519
P24941,Q13547
P24941,Q9NRF9
P24941,P38936
P24941,Q9NR33
P25054,P49841
P25098,Q99835
P25098,P28335
P25098,P51681
P25098,P34995
P25098,P07550
P25098,P11229
P25098,P35368
P25098,P00734
P25098,P41231
P25098,P01019
P25098,P61073
P25098,P21462
P25116,P04070
P25116,P00734
P25116,P63096
P25116,P07225
P25116,P01112
P25205,P56282
P25205,Q14181
P25205,Q07864
P25205,Q9NRF9
P25205,Q9NR33
P25208,Q14534
P25208,O95749
P25208,P49327
P25208,P11021
P25208,Q9UBM7
P25208,Q13907
P25325,Q9Y697
P25391,P06756
P25391,P08648
P25391,P63000
P25391,P60953
P25685,P54652
P25685,P11142
P25929,P63096
P25929,P01303
P25942,P25963
P25942,P19838
P25963,P68400
P25963,P19838
P25963,P17612
P25963,O15111
P25963,P67870
P25963,O14920
P26010,P12931
P26012,P04004
P26012,P12931
P26038,P19634
P26367,P01308
P26368,P09012
P26651,P49137
P26678,P17612
P26678,P36873
P26951,P42336
P26951,P51692
P26951,P08700
P26951,P01112
P26951,P27986
P27037,P12644
P27037,P43026
P27361,P28482
P27361,P05129
P27361,P19634
P27361,P15336
P27361,P17302
P27361,P15056
P27361,P49585
P27361,P51692
P27361,P01100
P27361,O14746
P27361,P17612
P27361,P04054
P27361,P07900
P27361,P63096
P27361,Q92731
P27361,P47712
P27361,P05412
P27361,Q05513
P27361,Q9Y5K3
P27361,P51812
P27361,P10828
P27361,P10415
P27361,Q13464
P27361,Q07869
P27361,P16220
P27361,P03372
P27361,P01112
P27361,P17252
P27361,P62937
P27361,Q15418
P27361,Q16665
P27361,P31749
P27361,P01106
P27448,P04049
P27448,P15056
P27448,P10398
P27448,P01112
P27482,P35228
P27482,P29475
P27540,Q16790
P27540,P04798
P27540,P38936
P27540,P00338
P27694,P56282
P27694,Q14181
P27694,Q07864
P27694,Q9NRF9
P27694,P17936
P27694,P38936
P27694,Q9NR33
P27694,P08183
P27797,P02746
P27797,P02747
P27797,P02745
P27815,P17612
P27930,P01584
P27986,P36888
P27986,P04049
P27986,P09619
P27986,P35968
P27986,P10827
P27986,P43403
P27986,P00533
P27986,P10721
P27986,P49841
P27986,P06401
P27986,P06241
P27986,P63000
P27986,P42345
P27986,P12931
P27986,P43405
P27986,Q05513
P27986,Q05655
P27986,P10828
P27986,P60953
P27986,P16220
P27986,P11362
P27986,Q08881
P27986,P01112
P27986,P07948
P27986,P04629
P27986,P31749
P27986,P01106
P27986,Q06187
P28340,P12004
P28482,P27361
P28482,P05129
P28482,P19634
P28482,P15336
P28482,P17302
P28482,P15056
P28482,P49585
P28482,P51692
P28482,P01100
P28482,O14746
P28482,P17612
P28482,P04054
P28482,P07900
P28482,P63096
P28482,Q92731
P28482,P47712
P28482,P05412
P28482,Q05513
P28482,Q9Y5K3
P28482,P51812
P28482,P10828
P28482,P10415
P28482,Q13464
P28482,Q07869
P28482,P16220
P28482,P03372
P28482,P01112
P28482,P17252
P28482,P62937
P28482,Q15418
P28482,Q16665
P28482,P31749
P28482,P01106
P28562,P28482
P28562,P27361
P28562,P07900
P28562,Q07869
P28698,O14746
P28702,O95477
P28749,P11802
P28749,Q00534
P28749,P36873
P28749,P06493
P28749,P01106
P28907,P05129
P28907,P17252
P29083,P01574
P29317,P00519
P29320,P00519
P29322,P00519
P29323,P63000
P29323,P00519
P29350,P28482
P29350,P01579
P29350,P27361
P29350,P35968
P29350,P42336
P29350,P43403
P29350,P17181
P29350,P10721
P29350,P51692
P29350,P08700
P29350,P11274
P29350,P26951
P29350,P23458
P29350,P06241
P29350,P43405
P29350,P01574
P29350,P05556
P29350,P32927
P29350,P27986
P29350,P07948
P29350,Q06187
P29353,P16234
P29353,P09619
P29353,P35968
P29353,P43403
P29353,P00533
P29353,Q16620
P29353,P10721
P29353,P11274
P29353,P06213
P29353,P06241
P29353,P00519
P29353,P12931
P29353,P43405
P29353,P11362
P29353,P01112
P29353,P04629
P29400,P00748
P29466,P01584
P29466,P42574
P29474,P63096
P29474,P31749
P29475,P19429
P29475,P31749
P29590,P01137
P29597,P28482
P29597,P27361
P29597,P17181
P29597,P51692
P29597,P23458
P29597,P48551
P29597,P01574
P29965,P25963
P29965,P19838
P29966,Q02156
P29966,Q05655
P29992,P46663
P29992,P30968
P29992,O14842
P29992,P20309
P29992,P41595
P29992,P42336
P29992,P28335
P29992,P32238
P29992,P37288
P29992,P41594
P29992,P11229
P29992,P35368
P29992,P25101
P29992,P47901
P29992,P24530
P29992,P25100
P29992,P35348
P29992,P08912
P29992,P21731
P29992,P27986
P29992,P28223
P30086,P28482
P30086,P41240
P30086,P04049
P30086,P27361
P30086,P15056
P30086,P10398
P30086,P02675
P30086,P02679
P30086,P02751
P30086,O15111
P30086,P12931
P30086,P01112
P30086,O14920
P30086,P05106
P30153,P28482
P30153,P27361
P30153,Q96GD4
P30153,P36873
P30154,P28482
P30154,P27361
P30154,Q96GD4
P30154,P36873
P30260,P06493
P30273,O00459
P30273,P04049
P30273,P42336
P30273,P43403
P30273,P42338
P30273,P01100
P30273,P06241
P30273,P05412
P30273,P43405
P30273,O00329
P30273,P27986
P30273,P07948
P30273,Q06187
P30279,P49841
P30279,Q13547
P30279,P12004
P30279,P38936
P30281,P49841
P30281,Q13547
P30281,P12004
P30281,P38936
P30291,P06493
P30304,P24385
P30304,P11802
P30304,Q00534
P30304,P06493
P30305,P06493
P30307,P17612
P30307,P36873
P30307,P06493
P30405,P51681
P30405,Q02156
P30411,P63096
P30530,P23458
P30530,P12931
P30542,P63096
P30559,P01178
P30559,P63096
P30622,Q96GD4
P30622,P36873
P30679,P21731
P30679,P01112
P30874,P61278
P30874,P63096
P30876,Q13315
P31268,P01100
P31268,P05412
P31321,P28482
P31321,P41240
P31321,P27361
P31321,P05556
P31321,P10415
P31321,P16220
P31321,P29475
P31323,P28482
P31323,P41240
P31323,P27361
P31323,P05556
P31323,P10415
P31323,P16220
P31323,P29475
P31371,P08620
P31371,P35968
P31371,P09038
P31371,P00533
P31371,P17948
P31371,P11362
P31371,P01112
P31371,P05230
P31431,P17252
P31689,P54652
P31689,P11142
P31749,P28482
P31749,P04040
P31749,P04049
P31749,P27361
P31749,P42336
P31749,P29590
P31749,P00441
P31749,Q13370
P31749,P42338
P31749,P14625
P31749,P06213
P31749,O14746
P31749,P49841
P31749,P35228
P31749,P07900
P31749,P63096
P31749,P48736
P31749,P42345
P31749,O15111
P31749,P08238
P31749,O00329
P31749,Q05513
P31749,P01308
P31749,P10415
P31749,P38936
P31749,P16220
P31749,O14920
P31749,O14727
P31749,P29475
P31749,P01106
P31751,P28482
P31751,P04049
P31751,P27361
P31751,P42336
P31751,P29590
P31751,Q13370
P31751,P42338
P31751,P14625
P31751,P49841
P31751,P35228
P31751,P07900
P31751,P48736
P31751,P42345
P31751,O15111
P31751,P08238
P31751,O00329
P31751,Q05513
P31751,P10415
P31751,P38936
P31751,O14920
P31751,P31749
P31751,P29475
P31785,P14784
P31785,P60568
P31785,P42336
P31785,P51692
P31785,P40933
P31785,P06239
P31785,P23458
P31785,P06241
P31785,P01589
P31785,Q14289
P31785,P10415
P31785,P27986
P31946,P28482
P31946,P41240
P31946,P04049
P31946,P27361
P31946,P15056
P31946,P10398
P31946,P02675
P31946,P02679
P31946,P02751
P31946,P12931
P31946,P01112
P31946,P05106
P31947,P06493
P31994,P04049
P31997,P08648
P31997,P02751
P31997,P05556
P32121,P28482
P32121,Q99835
P32121,P27361
P32418,P17612
P32519,P08700
P32780,Q13315
P32881,P17181
P32881,P23458
P32881,P01574
P32927,P05113
P32927,P42336
P32927,P51692
P32927,P08700
P32927,P01112
P32927,P27986
P32942,P20701
P32942,P05107
P33076,P17676
P33076,P16220
P33552,P63208
P33681,P42336
P33681,P06239
P33681,P27986
P33778,P24385
P33778,P07288
P33778,P07359
P33778,P10415
P33778,P01106
P33991,P56282
P33991,Q14181
P33991,Q07864
P33991,Q9NRF9
P33991,Q9NR33
P33992,P56282
P33992,Q14181
P33992,Q07864
P33992,Q9NRF9
P33992,Q9NR33
P33993,P56282
P33993,Q14181
P33993,Q07864
P33993,Q9NRF9
P33993,Q9NR33
P34130,Q16620
P34130,P01112
P34130,P04629
P34820,Q16671
P34932,P37840
P34998,P06850
P34998,P63096
P35052,P09038
P35070,P00533
P35221,P01133
P35221,P00533
P35221,P63000
P35221,P60953
P35222,P68400
P35222,P24385
P35222,Q9UJU2
P35222,P01133
P35222,P00533
P35222,P17302
P35222,Q03181
P35222,P49841
P35222,P06241
P35222,P63000
P35222,Q13547
P35222,P12931
P35222,P67870
P35222,P60953
P35222,P01106
P35225,P09601
P35225,P13500
P35225,P01584
P35225,P00488
P35225,P19320
P35225,P21397
P35225,P02751
P35225,P09917
P35225,P04083
P35225,P05556
P35225,P05107
P35225,P01375
P35225,P11142
P35225,P16050
P35228,P31749
P35232,P04049
P35232,P15056
P35232,P10398
P35232,P01112
P35236,P28482
P35236,P27361
P35240,P63000
P35240,P60953
P35243,P08100
P35244,P56282
P35244,Q14181
P35244,Q07864
P35244,Q9NRF9
P35244,Q9NR33
P35269,Q13315
P35269,P01574
P35368,P21980
P35372,P25098
P35372,P35626
P35372,P59768
P35372,P63096
P35398,P50416
P35498,P17612
P35568,O00459
P35568,Q04759
P35568,P42336
P35568,Q16620
P35568,P42338
P35568,P06213
P35568,Q02156
P35568,P48736
P35568,P42345
P35568,O15111
P35568,O00329
P35568,Q05513
P35568,Q05655
P35568,P01308
P35568,P27986
P35568,O14920
P35568,P04629
P35579,P11233
P35609,P42336
P35609,P12931
P35609,P27986
P35625,P08253
P35625,P14780
P35626,Q99835
P35638,P18848
P35638,P18850
P35638,P10415
P35658,P56524
P35658,Q9UBN7
P35658,Q13547
P35658,Q9UKV0
P35869,P04798
P35916,P41240
P35916,P42336
P35916,P68133
P35916,P12931
P35916,P27986
P35968,P41240
P35968,O00459
P35968,P42336
P35968,P42338
P35968,P23458
P35968,P68133
P35968,P12931
P35968,O00329
P35968,Q13464
P35968,P60953
P35968,P27986
P36402,Q13363
P36402,P14923
P36404,Q9H4B7
P36404,P04350
P36404,P68371
P36507,P28482
P36507,P04049
P36507,P27361
P36507,P15056
P36507,P10398
P36507,P17612
P36507,Q05655
P36873,Q01668
P36873,Q02156
P36873,Q96GD4
P36873,Q7Z2W7
P36873,Q05586
P36873,Q12879
P36873,Q13464
P36873,Q13224
P36888,O00459
P36888,P42336
P36888,P42338
P36888,P51692
P36888,O00329
P36888,P27986
P36894,P12644
P36894,P15336
P36894,P43026
P36897,P01137
P36897,P62942
P36954,Q13315
P36956,P01130
P37173,P01137
P37198,P56524
P37198,Q9UBN7
P37198,Q13547
P37198,Q9UKV0
P37231,P35558
P37231,P42345
P37231,P28845
P38405,P29275
P38405,P21918
P38405,Q08462
P38405,P21728
P38405,P29274
P38484,P01579
P38484,P23458
P38646,O00206
P38936,P24385
