DB00898,A5X5Y0
DB00231,A8MPY1
DB00546,A8MPY1
DB00690,A8MPY1
DB00801,A8MPY1
DB00829,A8MPY1
DB00842,A8MPY1
DB00897,A8MPY1
DB01215,A8MPY1
DB01558,A8MPY1
DB01559,A8MPY1
DB01588,A8MPY1
DB01589,A8MPY1
DB01595,A8MPY1
DB02594,O00142
DB04485,O00142
DB00308,O00180
DB00908,O00180
DB01708,O00204
DB02789,O00204
DB01183,O00206
DB00157,O00217
DB00515,O00244
DB02772,O00244
DB03127,O00244
DB00514,O00264
DB00540,O00264
DB01104,O00264
DB04216,O00303
DB00201,O00329
DB00201,O00408
DB02315,O00408
DB01064,O00459
DB00126,O00469
DB00157,O00483
DB00316,O00519
DB00599,O00519
DB00121,O00763
DB00173,O00763
DB00139,O14521
DB00756,O14521
DB00157,O14556
DB01593,O14556
DB00157,O14561
DB02379,O14594
DB01593,O14618
DB00445,O14646
DB00561,O14649
DB01159,O14649
DB00738,O14717
DB01752,O14717
DB00171,O14727
DB01356,O14732
DB00495,O14746
DB00139,O14756
DB00186,O14764
DB00189,O14764
DB00228,O14764
DB00231,O14764
DB00273,O14764
DB00292,O14764
DB00312,O14764
DB00349,O14764
DB00371,O14764
DB00402,O14764
DB00404,O14764
DB00475,O14764
DB00543,O14764
DB00546,O14764
DB00555,O14764
DB00659,O14764
DB00690,O14764
DB00753,O14764
DB00794,O14764
DB00801,O14764
DB00818,O14764
DB00829,O14764
DB00842,O14764
DB00897,O14764
DB00898,O14764
DB01028,O14764
DB01043,O14764
DB01068,O14764
DB01159,O14764
DB01189,O14764
DB01205,O14764
DB01215,O14764
DB01236,O14764
DB01437,O14764
DB01558,O14764
DB01559,O14764
DB01588,O14764
DB01589,O14764
DB01595,O14764
DB01708,O14764
DB01956,O14764
DB00480,O14788
DB01593,O14791
DB00126,O14832
DB00159,O14842
DB00143,O14880
DB00244,O14920
DB00795,O14920
DB00945,O14920
DB00995,O14920
DB01169,O14920
DB01942,O14936
DB00122,O14939
DB04272,O14964
DB00233,O15111
DB00244,O15111
DB00795,O15111
DB00143,O15217
DB00157,O15239
DB00114,O15269
DB00114,O15270
DB01593,O15304
DB00119,O15374
DB00119,O15375
DB02546,O15379
DB00289,O15399
DB00312,O15399
DB00418,O15399
DB00454,O15399
DB00659,O15399
DB00874,O15399
DB00996,O15399
DB01043,O15399
DB01173,O15399
DB01174,O15399
DB01520,O15399
DB01708,O15399
DB00119,O15403
DB00119,O15427
DB00171,O15439
DB00139,O15460
DB01436,O15528
DB00228,O15554
DB00257,O15554
DB00468,O15554
DB00721,O15554
DB01110,O15554
DB01159,O15554
DB00755,O43174
DB00157,O43175
DB00157,O43181
DB00199,O43193
DB00153,O43497
DB00347,O43497
DB00381,O43497
DB00421,O43497
DB00568,O43497
DB00593,O43497
DB00661,O43497
DB00909,O43497
DB01388,O43497
DB04841,O43497
DB00321,O43525
DB00586,O43525
DB00939,O43525
DB00321,O43526
DB00586,O43526
DB00939,O43526
DB03088,O43612
DB00157,O43676
DB00157,O43677
DB00157,O43678
DB00171,O43681
DB01863,O43739
DB00131,O43741
DB00945,O43741
DB00166,O43766
DB00583,O43772
DB00157,O43920
DB00605,O60218
DB02021,O60218
DB02383,O60218
DB02379,O60264
DB00145,O60391
DB00289,O60391
DB00312,O60391
DB00418,O60391
DB00659,O60391
DB00874,O60391
DB00996,O60391
DB01043,O60391
DB01159,O60391
DB01173,O60391
DB01174,O60391
DB01520,O60391
DB01708,O60391
DB00159,O60488
DB00197,O60488
DB00412,O60488
DB00200,O60494
DB00428,O60502
DB00141,O60512
DB04315,O60547
DB02180,O60551
DB00126,O60568
DB00139,O60568
DB04824,O60656
DB00201,O60658
DB00119,O60669
DB00157,O60701
DB00171,O60706
DB01016,O60706
DB01103,O60733
DB00143,O60760
DB00162,O60760
DB00755,O60760
DB00152,O60779
DB00153,O60840
DB00243,O60840
DB00381,O60840
DB00393,O60840
DB00421,O60840
DB00568,O60840
DB00661,O60840
DB00825,O60840
DB01388,O60840
DB01497,O60858
DB01548,O60858
DB00786,O60882
DB00141,O60909
DB00138,O60931
DB00313,O60939
DB00909,O60939
DB02325,O60942
DB00157,O75306
DB00145,O75311
DB00431,O75311
DB00466,O75311
DB00602,O75311
DB01956,O75311
DB00157,O75380
DB04272,O75390
DB00157,O75438
DB00239,O75469
DB00252,O75469
DB00255,O75469
DB00257,O75469
DB00312,O75469
DB00421,O75469
DB00431,O75469
DB00499,O75469
DB00503,O75469
DB00530,O75469
DB00531,O75469
DB00532,O75469
DB00564,O75469
DB00675,O75469
DB00682,O75469
DB00754,O75469
DB00783,O75469
DB00834,O75469
DB00849,O75469
DB00977,O75469
DB01026,O75469
DB01039,O75469
DB01045,O75469
DB01068,O75469
DB01110,O75469
DB01115,O75469
DB01127,O75469
DB01138,O75469
DB01174,O75469
DB01181,O75469
DB01220,O75469
DB01229,O75469
DB01234,O75469
DB01248,O75469
DB01393,O75469
DB01645,O75469
DB01708,O75469
DB01892,O75469
DB02709,O75469
DB02789,O75469
DB04216,O75469
DB04468,O75469
DB04824,O75469
DB00157,O75489
DB00909,O75493
DB00114,O75600
DB00145,O75600
DB01593,O75636
DB00143,O75715
DB00825,O75762
DB01744,O75762
DB00116,O75891
DB00181,O75899
DB00996,O75899
DB00786,O75900
DB01094,O75908
DB00162,O75911
DB00126,O75936
DB00139,O75936
DB03796,O76054
DB00583,O76082
DB00201,O76083
DB04216,O94768
DB00157,O94788
DB00162,O94788
DB00755,O94788
DB00114,O94903
DB00204,O95069
DB00157,O95139
DB00157,O95167
DB00157,O95168
DB00157,O95169
DB00157,O95178
DB00153,O95180
DB00270,O95180
DB00381,O95180
DB00421,O95180
DB00568,O95180
DB00909,O95180
DB01023,O95180
DB01054,O95180
DB01115,O95180
DB01118,O95180
DB01244,O95180
DB01388,O95180
DB04841,O95180
DB00157,O95182
DB00162,O95237
DB00458,O95259
DB00637,O95259
DB00201,O95263
DB00898,O95264
DB00988,O95264
DB00157,O95298
DB01136,O95298
DB00157,O95299
DB00171,O95342
DB00845,O95342
DB01016,O95342
DB00114,O95470
DB00171,O95477
DB01016,O95477
DB01599,O95477
DB00157,O95479
DB00159,O95573
DB01106,O95665
DB00255,O95718
DB01645,O95718
DB00399,O95749
DB02552,O95749
DB04714,O95749
DB00040,O95838
DB00132,O95864
DB00143,O95881
DB00119,O95907
DB00114,O95954
