DB00014	has_target	P22888
P22888	has_side_effect	C0002453
DB00014	has_disease	C0002453
P22888	has_side_effect	C0018418
DB00014	has_disease	C0018418
P22888	has_side_effect	C0019348
DB00014	has_disease	C0019348
P22888	has_side_effect	C0085083
DB00014	has_disease	C0085083
P22888	has_side_effect	C0702166
DB00014	has_disease	C0702166
DB00014	has_target	P30968
P30968	has_side_effect	C0003467
DB00014	has_disease	C0003467
P30968	has_side_effect	C0018418
P30968	has_side_effect	C0029456
DB00014	has_disease	C0029456
P30968	has_side_effect	C0032000
DB00014	has_disease	C0032000
P30968	has_side_effect	C0032019
DB00014	has_disease	C0032019
P30968	has_side_effect	C0242350
DB00014	has_disease	C0242350
DB00035	has_target	P37288
P37288	has_side_effect	C0020538
DB00035	has_disease	C0020538
P37288	has_side_effect	C0030193
DB00035	has_disease	C0030193
DB00035	has_target	P30518
P30518	has_side_effect	C0003123
DB00035	has_disease	C0003123
P30518	has_side_effect	C0009806
DB00035	has_disease	C0009806
P30518	has_side_effect	C0011175
DB00035	has_disease	C0011175
P30518	has_side_effect	C0014394
DB00035	has_disease	C0014394
P30518	has_side_effect	C0015967
DB00035	has_disease	C0015967
P30518	has_side_effect	C0020488
DB00035	has_disease	C0020488
P30518	has_side_effect	C0020538
P30518	has_side_effect	C0020625
DB00035	has_disease	C0020625
P30518	has_side_effect	C0036572
DB00035	has_disease	C0036572
P30518	has_side_effect	C0042963
DB00035	has_disease	C0042963
P30518	has_side_effect	C0857122
DB00035	has_disease	C0857122
DB00035	has_target	P47901
P47901	has_side_effect	C0003467
DB00035	has_disease	C0003467
P47901	has_side_effect	C0011570
DB00035	has_disease	C0011570
DB00050	has_target	P22888
DB00050	has_disease	C0085083
DB00050	has_target	P30968
P30968	has_side_effect	C0000768
DB00050	has_disease	C0000768
P30968	has_side_effect	C0022735
DB00050	has_disease	C0022735
DB00091	has_target	P49069
P49069	has_side_effect	C0024299
DB00091	has_disease	C0024299
DB00091	has_target	P62937
P62937	has_side_effect	C0003873
DB00091	has_disease	C0003873
P62937	has_side_effect	C0007222
DB00091	has_disease	C0007222
P62937	has_side_effect	C0011849
DB00091	has_disease	C0011849
P62937	has_side_effect	C0020538
DB00091	has_disease	C0020538
P62937	has_side_effect	C0024299
P62937	has_side_effect	C0042373
DB00091	has_disease	C0042373
P62937	has_side_effect	C0042769
DB00091	has_disease	C0042769
DB00091	has_target	P30405
P30405	has_side_effect	C0007222
P30405	has_side_effect	C0011849
P30405	has_side_effect	C0020456
DB00091	has_disease	C0020456
P30405	has_side_effect	C0026848
DB00091	has_disease	C0026848
DB00104	has_target	P30872
P30872	has_side_effect	C1458155
DB00104	has_disease	C1458155
DB00104	has_target	P30874
P30874	has_side_effect	C0036572
DB00104	has_disease	C0036572
DB00115	has_target	Q8IVH4
Q8IVH4	has_side_effect	C0013404
DB00115	has_disease	C0013404
Q8IVH4	has_side_effect	C0042963
DB00115	has_disease	C0042963
DB00115	has_target	Q99707
Q99707	has_side_effect	C0575081
DB00115	has_disease	C0575081
DB00115	has_target	Q9UBK8
Q9UBK8	has_side_effect	C0015230
DB00115	has_disease	C0015230
Q9UBK8	has_side_effect	C0575081
DB00115	has_target	P22033
P22033	has_side_effect	C0013404
P22033	has_side_effect	C0042963
DB00115	has_target	P42898
P42898	has_side_effect	C0003467
DB00115	has_disease	C0003467
P42898	has_side_effect	C0003864
DB00115	has_disease	C0003864
P42898	has_side_effect	C0011991
DB00115	has_disease	C0011991
P42898	has_side_effect	C0013404
P42898	has_side_effect	C0018681
DB00115	has_disease	C0018681
P42898	has_side_effect	C0030554
DB00115	has_disease	C0030554
P42898	has_side_effect	C0032463
DB00115	has_disease	C0032463
P42898	has_side_effect	C0040053
DB00115	has_disease	C0040053
